store_id,metro,retailer,store_lat,store_lon
S40,San Francisco,CVS,37.71795029520929,-122.4664530287608
S41,San Francisco,Lowe's,37.822391631480826,-122.42235557321814
S42,San Francisco,Petco,37.77592848293977,-122.37049202312886
S43,San Francisco,Lowe's,37.78743008551334,-122.4146190690438
S44,San Francisco,Petco,37.742355779859,-122.47016241082054
S45,San Francisco,Publix,37.798274191964765,-122.37374385931817
S46,San Francisco,CVS,37.81187444554773,-122.40339154921874
S47,San Francisco,Meijer,37.769684148457955,-122.45318714753398
S48,San Francisco,Kroger,37.822007079818796,-122.41467893097011
S49,San Francisco,CVS,37.729550554564085,-122.43664425943076
S50,San Francisco,Meijer,37.728106230943325,-122.45204778049496
S51,San Francisco,Meijer,37.71496244523944,-122.4370917372399
S52,San Francisco,Publix,37.71573425566375,-122.41811032369068
S53,Los Angeles,Target,34.04764899140769,-118.18596919013292
S54,Los Angeles,CVS,34.00348455142109,-118.11082708882626
S55,Los Angeles,Meijer,33.96782926587192,-118.2262693993948
S56,Los Angeles,Kroger,34.011288880713785,-118.10216537518372
S57,Los Angeles,Kroger,33.97626281885158,-118.18480871814806
S58,Los Angeles,Publix,33.99246349294503,-118.30824785168676
S59,Los Angeles,Target,33.982234304282585,-118.10071551325021
S60,Los Angeles,Kroger,33.91764362537499,-118.31010606072903
S61,Los Angeles,Target,34.09250540341041,-118.18948836453357
S62,Los Angeles,Petco,34.04903582808327,-118.09800486376682
S63,Los Angeles,Walgreens,34.08000901716382,-118.3694440021002
S64,Los Angeles,Walgreens,33.97349126319772,-118.17523509541644
S65,Los Angeles,Walgreens,34.04329019033381,-118.09867305773155
S66,Los Angeles,Meijer,34.062932405222426,-118.36661306898368
S67,Los Angeles,Target,33.947415263189626,-118.24124036697779
S68,Los Angeles,Walgreens,33.91443254246643,-118.21643211704352
S69,Los Angeles,Publix,33.96827231426966,-118.1803551402686
S70,Los Angeles,Lowe's,33.97014873255938,-118.20014816287717
S71,Los Angeles,Kroger,34.18435697934688,-118.27442839367374
S72,Los Angeles,Lowe's,34.18321899662102,-118.35244371675621
S73,Los Angeles,Kroger,34.12276483577223,-118.33097851377869
S74,Los Angeles,Lowe's,34.165401806014295,-118.31631751168545
S75,Los Angeles,Kroger,33.95468647812878,-118.09904949700118
S76,Los Angeles,Kroger,34.0610951735068,-118.32114431272987
S77,Los Angeles,Walgreens,34.191825805386635,-118.22621196391788
S78,Los Angeles,Walgreens,34.09213043718198,-118.2919910626854
S79,Los Angeles,Publix,34.112307348991834,-118.13970165732852
S80,Los Angeles,Kroger,34.16832592727953,-118.15973733624271
S81,Los Angeles,Walgreens,34.15747853463025,-118.11300950173371
S82,Los Angeles,Kroger,34.17176625655812,-118.21177128210212
S83,Los Angeles,Publix,34.013884829968525,-118.11165996726267
S84,Los Angeles,Target,33.903718475153866,-118.34545758457476
S85,Los Angeles,CVS,34.047884126075864,-118.25917275710412
S86,Los Angeles,Petco,33.96948079283817,-118.18004623359575
S87,Los Angeles,Target,34.05036811455503,-118.34005318723361
S88,Los Angeles,Walgreens,34.09708986971416,-118.13893297685175
S89,Los Angeles,Target,33.99461823755571,-118.23093793083353
S90,Los Angeles,Publix,34.01251474091783,-118.31413928969549
S91,Los Angeles,Meijer,34.079161254268165,-118.1000321425175
S92,Los Angeles,Publix,34.169813966553136,-118.20435841220082
S93,Los Angeles,CVS,34.0072235223084,-118.20016899139084
S94,Los Angeles,Lowe's,34.049955308145655,-118.3351271036606
S95,Los Angeles,Petco,34.051958013965425,-118.22209874023724
S96,Los Angeles,Walgreens,34.09584168877215,-118.3405667961779
S97,Los Angeles,Kroger,34.04318335419728,-118.30983189746098
S98,Austin,Meijer,30.241231740051088,-97.84000867669423
S99,Austin,Walgreens,30.2333500609341,-97.7325470066329
S100,Austin,Lowe's,30.359923995417848,-97.67249810890652
S101,Austin,Lowe's,30.228339403857436,-97.80491779376993
S102,Austin,Target,30.230584401031255,-97.80920145066278
S103,Austin,Target,30.246138293361895,-97.67425737185474
S104,Austin,Publix,30.28121223401787,-97.82366470124585
S105,Austin,Walgreens,30.30142870336481,-97.77137064374077
S106,Austin,Lowe's,30.270865930472745,-97.66762538561441
S107,Austin,Target,30.336933958984933,-97.81577573371159
S108,Austin,Meijer,30.23909823024395,-97.7843816311471
S109,Austin,Lowe's,30.251156171289253,-97.7918586112811
S110,Austin,Walgreens,30.349848110511292,-97.74083152022781
S111,Austin,Target,30.292778882989726,-97.80424520929759
S112,Austin,Walgreens,30.30759337545154,-97.68394146611278
S113,Austin,Kroger,30.34452342979013,-97.83757664562526
S114,Austin,CVS,30.185996387968174,-97.72744397180077
S115,Austin,Meijer,30.232830533494944,-97.81209167665445
S116,Austin,Meijer,30.224508250425657,-97.72493334788619
S117,Austin,Meijer,30.217250272103172,-97.83533305311411
S118,Austin,Lowe's,30.239238128282253,-97.81768789746963
S119,Austin,Target,30.332773800757515,-97.78879141683605
S120,Austin,Kroger,30.2917780951638,-97.82603050700125
S121,Austin,Petco,30.206076006798973,-97.76082921898866
S122,Austin,Publix,30.29468598029964,-97.69788173325547
S123,Austin,Petco,30.36110737342283,-97.700180979164
S124,Austin,Publix,30.32623723895374,-97.78893354974758
S125,Austin,Kroger,30.316008528599824,-97.79292789453066
