order_id,order_creation_ts,promised_by_ts,metro,retailer,store_id,store_lat,store_lon,customer_id,customer_lat,customer_lon,order_type,delivery_type,on_time_flag,basket_size,total_cost,revenue,markup,shopper_id,shopper_rating,preferred_shopper,base_pay,promo_pay,incentive_pay,total_shopper_pay
O22,2026-08-10 11:47:05.151245,2026-08-10 13:47:05.151245,San Francisco,Petco,S42,37.77592848293977,-122.37049202312886,C2454,37.785223104246576,-122.42902557737433,shop_and_deliver,on_demand,1,7,34.84,5.13,1.93,SH36,4.32,0,7.51,0,0,7.51
O23,2026-08-10 13:44:45.145763,2026-08-10 17:44:45.145763,San Francisco,Meijer,S51,37.71496244523944,-122.4370917372399,C2947,37.6551445201514,-122.40054161777233,shop_and_deliver,same_day,1,1,10.91,1.39,0.56,SH30,5.0,0,5.91,0,0,5.91
O24,2026-08-10 08:37:22.504733,2026-08-10 12:37:22.504733,Los Angeles,Publix,S90,34.01251474091783,-118.31413928969549,C2386,34.01462994428197,-118.30209624111674,shop_and_deliver,same_day,1,10,107.67,10.92,5.92,SH74,4.67,1,7.58,0,0,7.58
O25,2026-08-10 17:33:43.998863,2026-08-10 19:33:43.998863,Birmingham,Kroger,S12,33.535234622395166,-86.8920389257104,C1675,33.55616166814085,-86.88453954842504,delivery_only,on_demand,1,12,151.11,20.82,7.53,SH14,4.83,1,7.66,0,0,7.66
O26,2026-08-10 13:18:10.876797,2026-08-10 17:18:10.876797,Austin,Lowe's,S118,30.239238128282253,-97.81768789746963,C2709,30.23090192662791,-97.84986380898863,delivery_only,same_day,1,17,180.55,21.8,10.82,SH81,4.66,0,10.19,0,0,10.19
O27,2026-08-10 15:36:40.375334,2026-08-10 19:36:40.375334,San Francisco,Petco,S38,37.78225326370834,-122.38688393840545,C1930,37.77809958418883,-122.42361288549412,delivery_only,same_day,1,9,56.2,6.68,3.33,SH33,5.0,0,7.6,0,0,7.6
O28,2026-08-10 08:31:40.942577,2026-08-10 12:31:40.942577,Austin,CVS,S114,30.185996387968174,-97.72744397180077,C1583,30.14347036525771,-97.60182359297185,shop_and_deliver,same_day,1,8,34.02,3.49,1.89,SH99,4.74,0,5.95,0,0,5.95
O29,2026-08-10 12:21:06.494373,2026-08-10 16:21:06.494373,San Francisco,CVS,S49,37.729550554564085,-122.43664425943076,C690,37.73424189825163,-122.42668510741215,shop_and_deliver,same_day,1,7,98.02,13.19,2.97,SH36,4.32,0,5.42,0,0,5.42
O30,2026-08-10 11:05:13.154761,2026-08-10 13:05:13.154761,Birmingham,Lowe's,S1,33.57197773763484,-86.86738173782409,C1318,33.57836032015627,-86.89471228976853,shop_and_deliver,on_demand,1,25,288.03,34.03,19.94,SH16,4.72,0,10.43,0,0,10.43
O31,2026-08-10 10:49:27.512353,2026-08-10 12:49:27.512353,Austin,Kroger,S120,30.2917780951638,-97.82603050700125,C2977,30.355007014030722,-97.84918875032483,shop_and_deliver,on_demand,0,6,30.16,3.34,1.14,SH86,4.37,0,5.56,0,0,5.56
O32,2026-08-10 08:55:49.097513,2026-08-10 12:55:49.097513,Austin,Target,S107,30.336933958984933,-97.81577573371159,C896,30.230435115205786,-97.84197556238436,shop_and_deliver,same_day,1,4,30.82,3.11,2.06,SH96,5.0,0,4.83,1,2,7.83
O33,2026-08-10 08:19:54.816764,2026-08-10 10:19:54.816764,San Francisco,Meijer,S51,37.71496244523944,-122.4370917372399,C2221,37.74582292356033,-122.47659420264456,shop_and_deliver,on_demand,0,16,109.81,15.76,6.24,SH48,5.0,1,9.18,0,0,9.18
O34,2026-08-10 14:41:31.209466,2026-08-11 14:41:31.209466,Los Angeles,Target,S67,33.947415263189626,-118.24124036697779,C1937,33.997474821812574,-118.19224412898407,shop_and_deliver,next_day,1,39,291.97,32.24,17.8,SH55,4.34,0,15.06,2,0,17.060000000000002
O35,2026-08-10 16:26:21.286054,2026-08-10 20:26:21.286054,Birmingham,Publix,S18,33.59227767237418,-86.853819603312,C988,33.578332979060214,-86.93456117868496,shop_and_deliver,same_day,1,3,13.46,1.34,0.84,SH2,4.53,1,5.1,1,0,6.1
O36,2026-08-10 14:27:39.462300,2026-08-10 16:27:39.462300,San Francisco,Lowe's,S33,37.81690462933478,-122.42546591910342,C1462,37.807402029452824,-122.40119635365242,delivery_only,on_demand,0,12,114.28,10.25,3.96,SH29,4.44,1,6.96,0,0,6.96
O37,2026-08-10 17:43:12.909234,2026-08-10 19:43:12.909234,Los Angeles,Walgreens,S64,33.97349126319772,-118.17523509541644,C2391,33.88988518514836,-118.16790940624942,shop_and_deliver,on_demand,1,9,77.0,8.29,3.27,SH72,4.63,0,6.19,0,0,6.19
O38,2026-08-10 17:26:25.515378,2026-08-11 17:26:25.515378,Los Angeles,Publix,S92,34.169813966553136,-118.20435841220082,C2491,34.15801665966307,-118.21370474691508,shop_and_deliver,next_day,1,4,37.27,5.23,2.0,SH52,5.0,1,5.63,0,0,5.63
O39,2026-08-10 08:01:23.431725,2026-08-10 10:01:23.431725,Birmingham,Petco,S7,33.539746671732985,-86.79030243111211,C1498,33.53417889660096,-86.80634365479368,delivery_only,on_demand,1,7,100.16,13.78,6.25,SH7,5.0,0,7.9,0,0,7.9
O40,2026-08-10 09:13:45.144425,2026-08-10 13:13:45.144425,Birmingham,Lowe's,S21,33.5802112594271,-86.81944425599345,C2342,33.5887292146677,-86.81908586327431,shop_and_deliver,same_day,1,18,188.0,23.26,6.18,SH3,4.31,0,10.05,0,0,10.05
O41,2026-08-10 11:46:23.291811,2026-08-10 13:46:23.291811,Birmingham,Lowe's,S21,33.5802112594271,-86.81944425599345,C2789,33.58852785661149,-86.79872536816865,delivery_only,on_demand,1,16,182.95,16.42,7.35,SH25,4.31,0,10.13,0,0,10.13
O42,2026-08-10 12:40:53.549087,2026-08-10 16:40:53.549087,Birmingham,CVS,S14,33.5993993967056,-86.72658623404658,C119,33.60438942325555,-86.76295494537385,shop_and_deliver,same_day,1,11,124.69,17.16,7.64,SH11,4.56,0,7.88,0,0,7.88
O43,2026-08-10 16:28:14.189771,2026-08-11 16:28:14.189771,Austin,Meijer,S115,30.232830533494944,-97.81209167665445,C1092,30.26634152835881,-97.77824335728747,shop_and_deliver,next_day,1,1,4.72,0.45,0.19,SH99,4.74,0,5.2,0,0,5.2
O44,2026-08-10 14:21:55.391283,2026-08-10 16:21:55.391283,Los Angeles,Target,S61,34.09250540341041,-118.18948836453357,C2802,34.0222837559799,-118.38377931251758,shop_and_deliver,on_demand,0,10,97.48,9.29,4.71,SH64,4.41,0,8.76,0,0,8.76
O45,2026-08-10 14:21:15.971244,2026-08-10 18:21:15.971244,San Francisco,Meijer,S50,37.728106230943325,-122.45204778049496,C2247,37.72556934096901,-122.47221612866059,shop_and_deliver,same_day,1,16,131.99,15.86,6.15,SH32,4.68,0,10.04,2,1,13.04
O46,2026-08-10 13:19:12.780443,2026-08-10 17:19:12.780443,Los Angeles,Target,S84,33.903718475153866,-118.34545758457476,C2552,33.79573540917061,-118.39419419543532,shop_and_deliver,same_day,0,11,131.5,12.37,5.02,SH64,4.41,0,6.28,0,1,7.28
O47,2026-08-10 09:48:07.047149,2026-08-10 11:48:07.047149,San Francisco,Meijer,S50,37.728106230943325,-122.45204778049496,C2241,37.715572837020375,-122.42378063595004,shop_and_deliver,on_demand,1,8,45.84,4.05,2.78,SH31,4.81,0,7.51,0,0,7.51
O48,2026-08-10 13:43:02.855393,2026-08-10 17:43:02.855393,Birmingham,Meijer,S5,33.438754084224875,-86.77044022099197,C1816,33.41806620131303,-86.76730161279413,shop_and_deliver,same_day,1,7,51.62,5.4,2.83,SH25,4.31,0,6.25,0,0,6.25
O49,2026-08-10 08:46:11.260814,2026-08-10 12:46:11.260814,San Francisco,CVS,S49,37.729550554564085,-122.43664425943076,C1031,37.713150152026465,-122.44479391274055,delivery_only,same_day,1,25,173.54,14.07,11.9,SH37,4.89,0,10.5,0,0,10.5
O50,2026-08-10 10:35:13.619118,2026-08-10 12:35:13.619118,Birmingham,Petco,S7,33.539746671732985,-86.79030243111211,C2367,33.60006741906355,-86.71481659924804,delivery_only,on_demand,0,7,73.39,9.02,4.07,SH18,4.93,0,5.98,0,0,5.98
O51,2026-08-10 12:32:36.435230,2026-08-10 16:32:36.435230,Birmingham,CVS,S15,33.497974970457186,-86.89752607460036,C2503,33.43773770946964,-86.86634473656395,shop_and_deliver,same_day,1,7,78.0,11.35,2.54,SH19,4.44,1,7.72,0,0,7.72
O52,2026-08-10 12:37:06.365326,2026-08-10 14:37:06.365326,Los Angeles,Target,S67,33.947415263189626,-118.24124036697779,C2806,34.07636860615517,-118.25720098658891,delivery_only,on_demand,1,10,90.51,9.85,5.33,SH70,4.09,0,7.15,0,0,7.15
O53,2026-08-10 14:17:03.352438,2026-08-10 18:17:03.352438,Los Angeles,Walgreens,S78,34.09213043718198,-118.2919910626854,C2605,34.00990025072063,-118.22912329671756,shop_and_deliver,same_day,1,21,278.81,31.77,12.09,SH71,5.0,1,11.12,0,0,11.12
O54,2026-08-10 09:24:11.682655,2026-08-10 13:24:11.682655,San Francisco,CVS,S46,37.81187444554773,-122.40339154921874,C2562,37.81583507322625,-122.3711641322004,delivery_only,same_day,1,24,140.85,13.19,9.24,SH49,4.61,1,11.75,2,0,13.75
O55,2026-08-10 08:18:41.367341,2026-08-10 10:18:41.367341,San Francisco,Petco,S42,37.77592848293977,-122.37049202312886,C2047,37.76594936338924,-122.35574575950254,shop_and_deliver,on_demand,1,7,52.87,7.55,3.46,SH32,4.68,0,6.23,2,2,10.23
O56,2026-08-10 13:58:06.667568,2026-08-10 15:58:06.667568,Austin,Publix,S104,30.28121223401787,-97.82366470124585,C2769,30.284558020229742,-97.80528223659627,shop_and_deliver,on_demand,1,1,14.95,2.22,0.84,SH96,5.0,0,6.16,0,0,6.16
O57,2026-08-10 08:47:08.081913,2026-08-10 12:47:08.081913,Birmingham,Publix,S13,33.5510553569458,-86.81931013464548,C494,33.532186157405874,-86.80810460920907,delivery_only,same_day,1,25,163.47,23.56,8.93,SH6,4.84,0,10.49,0,0,10.49
O58,2026-08-10 11:03:52.684850,2026-08-10 15:03:52.684850,Los Angeles,Walgreens,S68,33.91443254246643,-118.21643211704352,C849,33.97112693183971,-118.30537165807829,shop_and_deliver,same_day,1,1,10.32,1.31,0.63,SH69,4.56,0,6.34,0,0,6.34
O59,2026-08-10 14:02:18.635371,2026-08-11 14:02:18.635371,Birmingham,Walgreens,S2,33.536358527155464,-86.87231664472036,C109,33.60660126811492,-86.78074017315889,shop_and_deliver,next_day,0,21,300.88,42.9,13.09,SH11,4.56,0,10.94,0,0,10.94
O60,2026-08-10 08:29:46.117440,2026-08-10 10:29:46.117440,Los Angeles,Walgreens,S88,34.09708986971416,-118.13893297685175,C871,34.05493309531634,-118.18167044646965,shop_and_deliver,on_demand,1,12,85.1,7.84,3.85,SH54,4.82,1,8.9,0,0,8.9
O61,2026-08-10 10:36:37.746944,2026-08-10 12:36:37.746944,Austin,Kroger,S113,30.34452342979013,-97.83757664562526,C1495,30.394351955319102,-97.86090141458668,shop_and_deliver,on_demand,0,15,75.24,6.88,4.05,SH87,5.0,0,7.7,3,0,10.7
O62,2026-08-10 16:12:35.316623,2026-08-11 16:12:35.316623,Austin,Publix,S104,30.28121223401787,-97.82366470124585,C2746,30.27168707871798,-97.72819376863117,shop_and_deliver,next_day,1,16,134.32,13.82,4.09,SH99,4.74,0,9.98,1,0,10.98
O63,2026-08-10 09:33:37.289208,2026-08-10 13:33:37.289208,Birmingham,Walgreens,S19,33.56456505385718,-86.82387194259158,C1636,33.5447382127762,-86.77704410532114,shop_and_deliver,same_day,1,11,60.89,7.33,3.68,SH14,4.83,1,8.59,0,0,8.59
O64,2026-08-10 14:46:27.770564,2026-08-10 18:46:27.770564,Los Angeles,Walgreens,S77,34.191825805386635,-118.22621196391788,C2502,34.25448674702335,-118.10423343349272,delivery_only,same_day,1,7,39.28,5.43,2.03,SH64,4.41,0,7.78,0,0,7.78
O65,2026-08-10 09:21:16.543325,2026-08-11 09:21:16.543325,Los Angeles,Publix,S58,33.99246349294503,-118.30824785168676,C1087,34.02930406785093,-118.33510005516779,delivery_only,next_day,1,9,39.9,4.8,1.82,SH53,4.92,1,5.84,0,0,5.84
O66,2026-08-10 13:31:39.445249,2026-08-10 17:31:39.445249,Birmingham,Walgreens,S2,33.536358527155464,-86.87231664472036,C2489,33.56964291898307,-86.90161452480653,shop_and_deliver,same_day,1,7,98.13,11.61,5.82,SH8,4.58,0,6.29,0,0,6.29
O67,2026-08-10 12:16:29.512347,2026-08-10 14:16:29.512347,Austin,Meijer,S116,30.224508250425657,-97.72493334788619,C2230,30.260143851868722,-97.81909085828912,shop_and_deliver,on_demand,0,8,92.64,12.75,4.84,SH97,4.75,0,7.84,0,0,7.84
O68,2026-08-10 16:04:03.272296,2026-08-10 20:04:03.272296,San Francisco,Walgreens,S25,37.80457841321649,-122.41463694411331,C164,37.81769780882766,-122.41650022401092,shop_and_deliver,same_day,1,20,228.03,29.8,11.33,SH28,5.0,0,10.4,1,0,11.4
O69,2026-08-10 15:47:53.551824,2026-08-10 19:47:53.551824,Austin,Target,S119,30.332773800757515,-97.78879141683605,C852,30.286960095729327,-97.72101927678078,shop_and_deliver,same_day,1,20,204.46,23.72,6.83,SH80,4.52,1,10.15,0,0,10.15
O70,2026-08-10 13:14:08.288863,2026-08-10 17:14:08.288863,San Francisco,Lowe's,S39,37.719752030744615,-122.3941204532377,C1894,37.72378092566205,-122.42356980534296,shop_and_deliver,same_day,1,5,62.43,7.84,3.95,SH40,4.14,0,7.68,0,0,7.68
O71,2026-08-10 09:39:37.890773,2026-08-10 11:39:37.890773,San Francisco,Petco,S44,37.742355779859,-122.47016241082054,C730,37.74232137618673,-122.49182445061041,shop_and_deliver,on_demand,1,12,129.05,15.89,6.23,SH28,5.0,0,7.69,0,0,7.69
O72,2026-08-10 17:09:28.376620,2026-08-10 21:09:28.376620,Austin,Walgreens,S110,30.349848110511292,-97.74083152022781,C1716,30.348328836035794,-97.81042883226297,shop_and_deliver,same_day,1,5,57.32,5.88,3.98,SH83,4.82,0,5.73,0,0,5.73
O73,2026-08-10 09:25:46.591594,2026-08-10 11:25:46.591594,Los Angeles,Publix,S92,34.169813966553136,-118.20435841220082,C1736,34.10538690113798,-118.14334230920302,shop_and_deliver,on_demand,1,3,43.43,6.16,1.77,SH70,4.09,0,4.83,0,0,4.83
O74,2026-08-10 17:34:01.935620,2026-08-10 19:34:01.935620,Austin,Petco,S121,30.206076006798973,-97.76082921898866,C1874,30.27708485493364,-97.6843194590455,shop_and_deliver,on_demand,1,15,124.87,12.06,4.23,SH77,4.52,1,7.79,1,0,8.79
O75,2026-08-10 17:54:55.179930,2026-08-11 17:54:55.179930,Austin,Petco,S123,30.36110737342283,-97.700180979164,C2677,30.332018271753228,-97.75887497738445,delivery_only,next_day,1,9,71.42,8.68,3.79,SH100,4.9,1,6.23,0,0,6.23
O76,2026-08-10 09:57:46.594883,2026-08-11 09:57:46.594883,Austin,Lowe's,S109,30.251156171289253,-97.7918586112811,C1192,30.35455148819743,-97.7450481608021,shop_and_deliver,next_day,1,11,142.03,15.63,8.52,SH97,4.75,0,8.99,0,0,8.99
O77,2026-08-10 16:47:51.086483,2026-08-10 18:47:51.086483,Birmingham,Publix,S18,33.59227767237418,-86.853819603312,C325,33.579829058261915,-86.83352949142744,delivery_only,on_demand,1,7,66.5,8.46,2.63,SH15,5.0,0,7.52,1,0,8.52
O78,2026-08-10 13:06:20.534714,2026-08-10 17:06:20.534714,Los Angeles,Walgreens,S88,34.09708986971416,-118.13893297685175,C1147,34.06965489425465,-118.16593592200852,shop_and_deliver,same_day,1,6,80.85,7.25,5.51,SH55,4.34,0,5.99,0,0,5.99
O79,2026-08-10 13:16:32.291364,2026-08-10 15:16:32.291364,Los Angeles,Walgreens,S63,34.08000901716382,-118.3694440021002,C2496,34.052281737965984,-118.39682636880575,shop_and_deliver,on_demand,1,7,60.02,5.07,2.75,SH58,4.41,0,6.67,0,1,7.67
O80,2026-08-10 15:06:36.034630,2026-08-10 19:06:36.034630,Austin,Lowe's,S100,30.359923995417848,-97.67249810890652,C1092,30.357877028986906,-97.63396617495901,shop_and_deliver,same_day,1,6,31.13,3.0,1.87,SH76,4.43,0,5.82,0,0,5.82
O81,2026-08-10 16:04:43.163245,2026-08-11 16:04:43.163245,San Francisco,CVS,S49,37.729550554564085,-122.43664425943076,C535,37.73746839916923,-122.38589619446944,shop_and_deliver,next_day,1,7,104.52,10.66,5.95,SH38,4.42,0,7.78,2,0,9.780000000000001
O82,2026-08-10 13:04:53.101872,2026-08-10 17:04:53.101872,Los Angeles,Lowe's,S94,34.049955308145655,-118.3351271036606,C667,34.122340327438586,-118.36752722397942,shop_and_deliver,same_day,1,34,423.22,52.48,23.42,SH62,5.0,0,13.35,0,0,13.35
O83,2026-08-10 11:04:36.447221,2026-08-10 13:04:36.447221,Austin,Petco,S121,30.206076006798973,-97.76082921898866,C2498,30.222052240338122,-97.67814835556405,shop_and_deliver,on_demand,0,11,67.65,6.2,4.51,SH91,4.74,0,7.23,0,0,7.23
O84,2026-08-10 16:27:01.427360,2026-08-10 20:27:01.427360,Birmingham,Meijer,S20,33.52700785028179,-86.86712619800541,C996,33.57183316995279,-86.89215154160965,delivery_only,same_day,1,9,102.7,11.45,6.16,SH18,4.93,0,6.82,0,0,6.82
O85,2026-08-10 16:32:43.706155,2026-08-10 20:32:43.706155,Austin,Target,S102,30.230584401031255,-97.80920145066278,C883,30.27325547360586,-97.82767078726597,shop_and_deliver,same_day,1,11,66.0,7.27,2.42,SH79,5.0,1,8.37,0,0,8.37
O86,2026-08-10 08:14:51.535593,2026-08-10 12:14:51.535593,Birmingham,CVS,S14,33.5993993967056,-86.72658623404658,C2314,33.59290643928695,-86.75108973118782,shop_and_deliver,same_day,1,3,16.5,2.16,1.03,SH5,4.75,0,5.02,1,0,6.02
O87,2026-08-10 12:22:44.395937,2026-08-10 14:22:44.395937,Austin,Kroger,S125,30.316008528599824,-97.79292789453066,C1845,30.291966839124225,-97.7581194946727,shop_and_deliver,on_demand,0,7,72.48,8.69,3.14,SH89,5.0,1,6.2,0,0,6.2
O88,2026-08-10 13:49:01.974989,2026-08-10 15:49:01.974989,Birmingham,Lowe's,S1,33.57197773763484,-86.86738173782409,C616,33.56801363165353,-86.8899378140446,shop_and_deliver,on_demand,0,22,244.98,35.02,13.46,SH19,4.44,1,9.39,0,0,9.39
O89,2026-08-10 10:21:21.176217,2026-08-10 12:21:21.176217,Austin,CVS,S114,30.185996387968174,-97.72744397180077,C1194,30.142844642614026,-97.80859062193483,delivery_only,on_demand,0,6,84.62,7.05,3.69,SH90,4.27,0,6.22,0,0,6.22
O90,2026-08-10 10:56:58.049666,2026-08-11 10:56:58.049666,San Francisco,CVS,S49,37.729550554564085,-122.43664425943076,C580,37.71022210004063,-122.38807398081215,shop_and_deliver,next_day,1,9,121.5,18.2,5.72,SH36,4.32,0,6.08,0,0,6.08
O91,2026-08-10 08:34:20.520967,2026-08-11 08:34:20.520967,Los Angeles,Walgreens,S81,34.15747853463025,-118.11300950173371,C703,34.230436614377126,-118.10417010281515,shop_and_deliver,next_day,1,9,130.26,17.93,7.6,SH54,4.82,1,7.51,1,0,8.51
O92,2026-08-10 17:54:10.266141,2026-08-10 21:54:10.266141,San Francisco,Walgreens,S35,37.7948106827941,-122.40844426547507,C932,37.74359544102818,-122.45557070918885,shop_and_deliver,same_day,1,22,129.25,13.82,5.67,SH33,5.0,0,10.3,1,0,11.3
O93,2026-08-10 17:29:06.731791,2026-08-10 19:29:06.731791,San Francisco,Walgreens,S35,37.7948106827941,-122.40844426547507,C1293,37.797364344513035,-122.3605956619329,delivery_only,on_demand,1,11,139.15,15.08,4.19,SH46,3.86,0,8.8,0,0,8.8
O94,2026-08-10 10:40:40.529083,2026-08-10 12:40:40.529083,Austin,Kroger,S113,30.34452342979013,-97.83757664562526,C2088,30.420360544196217,-97.8804091771958,delivery_only,on_demand,1,9,37.25,4.66,1.39,SH92,4.96,0,6.45,0,2,8.45
O95,2026-08-10 15:04:34.341087,2026-08-11 15:04:34.341087,San Francisco,Publix,S52,37.71573425566375,-122.41811032369068,C1861,37.72254529002969,-122.42783236894695,delivery_only,next_day,1,15,166.24,23.01,8.83,SH34,5.0,0,9.19,0,0,9.19
O96,2026-08-10 08:23:58.127038,2026-08-10 10:23:58.127038,Los Angeles,Petco,S86,33.96948079283817,-118.18004623359575,C863,34.02049731987392,-118.09891710651611,delivery_only,on_demand,0,7,63.37,5.31,2.98,SH52,5.0,1,6.66,2,0,8.66
O97,2026-08-10 13:27:53.148997,2026-08-10 15:27:53.148997,Birmingham,Kroger,S12,33.535234622395166,-86.8920389257104,C2890,33.54425494009048,-86.9064015718675,shop_and_deliver,on_demand,1,4,24.11,2.03,1.29,SH15,5.0,0,7.02,0,0,7.02
O98,2026-08-10 08:28:50.842866,2026-08-10 12:28:50.842866,San Francisco,Publix,S31,37.809721064863744,-122.40668480302628,C1893,37.81977170373781,-122.41692464661918,shop_and_deliver,same_day,1,10,147.37,14.08,5.65,SH39,4.86,0,8.26,0,1,9.26
O99,2026-08-10 10:22:06.580941,2026-08-10 12:22:06.580941,Austin,Publix,S124,30.32623723895374,-97.78893354974758,C1457,30.26261749009348,-97.82046070453448,shop_and_deliver,on_demand,0,9,49.92,5.48,2.18,SH93,4.67,1,6.3,0,0,6.3
O100,2026-08-10 08:27:43.073395,2026-08-10 10:27:43.073395,Birmingham,Lowe's,S17,33.53839939840087,-86.75042491588749,C1561,33.48266405489431,-86.71357874597932,delivery_only,on_demand,1,11,44.85,6.12,1.48,SH11,4.56,0,7.49,0,0,7.49
